id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
974,TRUE,101,Genoa,GEN,105,Napoli,NAP,0,0,0.838569,0.928776,2016-09-21 22:45:00,0.306,0.342,0.352
975,TRUE,98,Juventus,JUV,116,Cagliari,CAG,4,0,3.23331,0.0712181,2016-09-21 22:45:00,0.9773,0.0214,0.0013
976,TRUE,114,Pescara,PES,113,Torino,TOR,0,0,0.988465,0.628442,2016-09-21 22:45:00,0.4285,0.3536,0.2179
977,TRUE,95,Roma,ROM,115,Crotone,CRO,4,0,2.21659,1.20964,2016-09-21 22:45:00,0.6222,0.2285,0.1493
978,TRUE,99,Udinese,UDI,110,Fiorentina,FIO,2,2,1.89441,1.08173,2016-09-21 22:45:00,0.5814,0.2653,0.1533
979,TRUE,107,Atalanta,ATA,100,Palermo,PAL,0,1,1.6265,1.04637,2016-09-21 22:45:00,0.5086,0.2913,0.2001
980,TRUE,100,Palermo,PAL,98,Juventus,JUV,0,1,0.115058,1.22962,2016-09-24 20:00:00,0.0272,0.2612,0.7116
981,TRUE,105,Napoli,NAP,109,Chievo,CHI,2,0,0.644091,0.41855,2016-09-24 22:45:00,0.3457,0.452,0.2023
982,TRUE,113,Torino,TOR,95,Roma,ROM,3,1,2.48231,2.97512,2016-09-25 14:30:00,0.2922,0.2204,0.4874
983,TRUE,104,Sassuolo,SAS,99,Udinese,UDI,1,0,1.51059,0.611892,2016-09-25 17:00:00,0.6478,0.2418,0.1104
984,TRUE,101,Genoa,GEN,114,Pescara,PES,1,1,0.507435,1.09165,2016-09-25 17:00:00,0.1384,0.3101,0.5515
985,TRUE,106,Inter,INT,97,Bologna,BOL,1,1,1.37159,0.551483,2016-09-25 17:00:00,0.5846,0.283,0.1324
986,TRUE,96,Lazio,LAZ,108,Empoli,EMP,2,0,1.91368,1.03563,2016-09-25 17:00:00,0.6018,0.2399,0.1583
