id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
9577,TRUE,109,Chievo,CHI,98,Juventus,JUV,2,3,1.05146,2.25963,2018-08-18 19:00:00,0.0998,0.2158,0.6844
9578,TRUE,96,Lazio,LAZ,105,Napoli,NAP,1,2,1.08236,1.51942,2018-08-18 21:30:00,0.2217,0.2909,0.4874
9579,TRUE,113,Torino,TOR,95,Roma,ROM,0,1,0.496521,1.18063,2018-08-19 19:00:00,0.1447,0.3036,0.5517
9582,TRUE,230,Parma Calcio 1913,PAR,99,Udinese,UDI,2,2,1.55455,1.99515,2018-08-19 21:30:00,0.2286,0.2992,0.4722
9583,TRUE,104,Sassuolo,SAS,106,Inter,INT,1,0,1.40451,1.20466,2018-08-19 21:30:00,0.4033,0.312,0.2847
9584,TRUE,108,Empoli,EMP,116,Cagliari,CAG,2,0,1.45907,0.574056,2018-08-19 21:30:00,0.6305,0.2477,0.1218
9585,TRUE,97,Bologna,BOL,221,SPAL 2013,SPL,0,1,0.906945,0.526925,2018-08-19 21:30:00,0.451,0.3648,0.1842
9586,TRUE,107,Atalanta,ATA,112,Frosinone,FRO,4,0,2.66879,0.348766,2018-08-20 21:30:00,0.9082,0.0765,0.0153
9587,TRUE,98,Juventus,JUV,96,Lazio,LAZ,2,0,1.50717,0.31552,2018-08-25 19:00:00,0.7349,0.2115,0.0536
9588,TRUE,105,Napoli,NAP,111,AC Milan,MIL,3,2,2.0372,0.521132,2018-08-25 21:30:00,0.7591,0.173,0.0679
9589,TRUE,221,SPAL 2013,SPL,230,Parma Calcio 1913,PAR,1,0,1.40818,0.153916,2018-08-26 19:00:00,0.7451,0.2228,0.0321
9590,TRUE,99,Udinese,UDI,102,Sampdoria,SAM,1,0,1.79867,0.585585,2018-08-26 21:30:00,0.7086,0.2006,0.0908
9591,TRUE,116,Cagliari,CAG,104,Sassuolo,SAS,2,2,1.52233,1.78519,2018-08-26 21:30:00,0.2923,0.2715,0.4362
9592,TRUE,110,Fiorentina,FIO,109,Chievo,CHI,6,1,3.33338,0.637013,2018-08-26 21:30:00,0.9242,0.0589,0.0169
9593,TRUE,112,Frosinone,FRO,97,Bologna,BOL,0,0,1.77944,0.924593,2018-08-26 21:30:00,0.6208,0.2324,0.1468
9594,TRUE,101,Genoa,GEN,108,Empoli,EMP,2,1,0.950879,1.25776,2018-08-26 21:30:00,0.2574,0.2918,0.4508
9595,TRUE,106,Inter,INT,113,Torino,TOR,2,2,0.789096,0.921797,2018-08-26 21:30:00,0.2886,0.3301,0.3813
9596,TRUE,95,Roma,ROM,107,Atalanta,ATA,3,3,2.22995,2.35383,2018-08-27 21:30:00,0.3653,0.222,0.4127
9597,TRUE,111,AC Milan,MIL,95,Roma,ROM,2,1,1.69218,0.311589,2018-08-31 21:30:00,0.7595,0.1925,0.048
9598,TRUE,97,Bologna,BOL,106,Inter,INT,0,3,0.494365,2.45978,2018-09-01 16:00:00,0.0324,0.1094,0.8582
9599,TRUE,230,Parma Calcio 1913,PAR,98,Juventus,JUV,1,2,1.9062,2.18413,2018-09-01 18:30:00,0.3013,0.2748,0.4239
9600,TRUE,110,Fiorentina,FIO,99,Udinese,UDI,1,0,1.10313,0.165399,2018-09-02 16:00:00,0.6449,0.3122,0.0429
9601,TRUE,96,Lazio,LAZ,112,Frosinone,FRO,1,0,2.8529,0.491729,2018-09-02 18:30:00,0.9036,0.0763,0.0201
9602,TRUE,109,Chievo,CHI,108,Empoli,EMP,0,0,1.26902,1.35877,2018-09-02 18:30:00,0.3188,0.3067,0.3745
9603,TRUE,107,Atalanta,ATA,116,Cagliari,CAG,0,1,0.323806,0.250446,2018-09-02 18:30:00,0.2256,0.6105,0.1639
9604,TRUE,102,Sampdoria,SAM,105,Napoli,NAP,3,0,0.829691,1.11682,2018-09-02 18:30:00,0.2492,0.325,0.4258
9605,TRUE,104,Sassuolo,SAS,101,Genoa,GEN,5,3,2.05648,1.88827,2018-09-02 18:30:00,0.4157,0.26,0.3243
9606,TRUE,113,Torino,TOR,221,SPAL 2013,SPL,1,0,2.01945,0.656746,2018-09-02 18:30:00,0.7442,0.18,0.0758
9611,TRUE,106,Inter,INT,230,Parma Calcio 1913,PAR,0,1,1.38542,0.297443,2018-09-15 13:00:00,0.6583,0.2624,0.0793
9613,TRUE,105,Napoli,NAP,110,Fiorentina,FIO,1,0,1.31657,0.346689,2018-09-15 16:00:00,0.6372,0.2734,0.0894
9609,TRUE,112,Frosinone,FRO,102,Sampdoria,SAM,0,5,0.413989,2.54241,2018-09-15 18:30:00,0.013,0.0651,0.9219
9614,TRUE,95,Roma,ROM,109,Chievo,CHI,2,2,2.72023,1.17626,2018-09-16 10:30:00,0.7444,0.1662,0.0894
9610,TRUE,101,Genoa,GEN,97,Bologna,BOL,1,0,0.488376,0.667504,2018-09-16 13:00:00,0.2284,0.4207,0.3509
9612,TRUE,98,Juventus,JUV,104,Sassuolo,SAS,2,1,2.8507,0.740742,2018-09-16 13:00:00,0.8799,0.0887,0.0314
9616,TRUE,99,Udinese,UDI,113,Torino,TOR,1,1,0.265642,0.671125,2018-09-16 13:00:00,0.1298,0.4629,0.4073
9608,TRUE,108,Empoli,EMP,96,Lazio,LAZ,0,1,1.4909,2.74301,2018-09-16 16:00:00,0.133,0.1917,0.6753
9607,TRUE,116,Cagliari,CAG,111,AC Milan,MIL,1,1,0.433382,2.48751,2018-09-16 18:30:00,0.0266,0.1027,0.8707
9615,TRUE,221,SPAL 2013,SPL,107,Atalanta,ATA,2,0,1.79209,0.789043,2018-09-17 18:30:00,0.6684,0.2198,0.1118
9580,TRUE,102,Sampdoria,SAM,110,Fiorentina,FIO,1,1,0.456027,1.70735,2018-09-19 17:00:00,0.0802,0.2057,0.7141
9625,TRUE,104,Sassuolo,SAS,108,Empoli,EMP,3,1,2.09666,1.03797,2018-09-21 18:30:00,0.6634,0.2038,0.1328
9623,TRUE,230,Parma Calcio 1913,PAR,116,Cagliari,CAG,2,0,2.04058,0.719329,2018-09-22 13:00:00,0.718,0.1798,0.1022
9619,TRUE,110,Fiorentina,FIO,221,SPAL 2013,SPL,3,0,1.71696,0.722731,2018-09-22 16:00:00,0.6331,0.2492,0.1177
9624,TRUE,102,Sampdoria,SAM,106,Inter,INT,0,1,0.399584,0.802538,2018-09-22 18:30:00,0.1688,0.4032,0.428
9626,TRUE,113,Torino,TOR,105,Napoli,NAP,1,3,1.08641,2.35831,2018-09-23 10:30:00,0.0892,0.1906,0.7202
9617,TRUE,97,Bologna,BOL,95,Roma,ROM,2,0,0.885381,3.20497,2018-09-23 13:00:00,0.0297,0.0841,0.8862
9618,TRUE,109,Chievo,CHI,99,Udinese,UDI,0,2,1.57505,1.11577,2018-09-23 13:00:00,0.4884,0.263,0.2486
9621,TRUE,96,Lazio,LAZ,101,Genoa,GEN,4,1,2.81099,0.670444,2018-09-23 13:00:00,0.8694,0.0977,0.0329
9622,TRUE,111,AC Milan,MIL,107,Atalanta,ATA,2,2,2.35124,2.08573,2018-09-23 16:00:00,0.4404,0.2402,0.3194
9620,TRUE,112,Frosinone,FRO,98,Juventus,JUV,0,2,0.0629851,2.91794,2018-09-23 18:30:00,0.0013,0.0329,0.9658
9631,TRUE,106,Inter,INT,110,Fiorentina,FIO,2,1,1.85911,1.78872,2018-09-25 19:00:00,0.3781,0.2808,0.3411
9636,TRUE,99,Udinese,UDI,96,Lazio,LAZ,1,2,0.842878,1.50332,2018-09-26 17:00:00,0.1712,0.2708,0.558
9627,TRUE,107,Atalanta,ATA,113,Torino,TOR,0,0,0.672669,0.22405,2018-09-26 19:00:00,0.4225,0.4698,0.1077
9628,TRUE,116,Cagliari,CAG,102,Sampdoria,SAM,0,0,0.952392,2.25181,2018-09-26 19:00:00,0.0921,0.1803,0.7276
9630,TRUE,101,Genoa,GEN,109,Chievo,CHI,2,0,1.61873,1.60245,2018-09-26 19:00:00,0.3799,0.2668,0.3533
9632,TRUE,98,Juventus,JUV,97,Bologna,BOL,2,0,0.851257,0.325971,2018-09-26 19:00:00,0.4804,0.3835,0.1361
9633,TRUE,105,Napoli,NAP,230,Parma Calcio 1913,PAR,3,0,2.8594,0.0851875,2018-09-26 19:00:00,0.9632,0.0345,0.0023
9634,TRUE,95,Roma,ROM,112,Frosinone,FRO,4,0,2.53238,0.48896,2018-09-26 19:00:00,0.899,0.083,0.018
9635,TRUE,221,SPAL 2013,SPL,104,Sassuolo,SAS,0,2,1.02425,2.08628,2018-09-27 17:00:00,0.0928,0.2163,0.6909
9629,TRUE,108,Empoli,EMP,111,AC Milan,MIL,1,1,1.1773,1.52902,2018-09-27 19:00:00,0.2745,0.302,0.4235
9637,TRUE,95,Roma,ROM,96,Lazio,LAZ,3,1,2.45713,0.885573,2018-09-29 13:00:00,0.7581,0.1567,0.0852
9646,TRUE,98,Juventus,JUV,105,Napoli,NAP,3,1,3.04531,1.42452,2018-09-29 16:00:00,0.7681,0.1496,0.0823
9644,TRUE,106,Inter,INT,116,Cagliari,CAG,2,0,1.05314,0.144417,2018-09-29 18:30:00,0.639,0.3199,0.0411
9640,TRUE,97,Bologna,BOL,99,Udinese,UDI,2,1,1.36167,0.997014,2018-09-30 10:30:00,0.4518,0.2949,0.2533
9641,TRUE,109,Chievo,CHI,113,Torino,TOR,0,1,0.315367,1.48485,2018-09-30 13:00:00,0.0606,0.2326,0.7068
9642,TRUE,110,Fiorentina,FIO,107,Atalanta,ATA,2,0,1.0206,0.681489,2018-09-30 13:00:00,0.4689,0.3373,0.1938
9643,TRUE,112,Frosinone,FRO,101,Genoa,GEN,1,2,1.28871,1.08662,2018-09-30 13:00:00,0.4026,0.3354,0.262
9645,TRUE,230,Parma Calcio 1913,PAR,108,Empoli,EMP,1,0,0.645086,1.44541,2018-09-30 16:00:00,0.1515,0.274,0.5745
9639,TRUE,104,Sassuolo,SAS,111,AC Milan,MIL,1,4,0.704744,1.30599,2018-09-30 18:30:00,0.1738,0.2945,0.5317
