id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
13089,TRUE,230,Parma Calcio 1913,PAR,98,Juventus,JUV,0,1,0.264026,1.88829,2019-08-24 17:00:00,0.0307,0.1393,0.83
13090,TRUE,110,Fiorentina,FIO,105,Napoli,NAP,3,4,1.94205,1.94511,2019-08-24 19:45:00,0.3514,0.2841,0.3645
13091,TRUE,99,Udinese,UDI,111,AC Milan,MIL,1,0,0.777545,0.633654,2019-08-25 17:00:00,0.3514,0.378,0.2706
13092,TRUE,94,Verona,VER,97,Bologna,BOL,1,1,0.109745,2.11,2019-08-25 19:45:00,0.0058,0.0744,0.9198
13093,TRUE,95,Roma,ROM,101,Genoa,GEN,3,3,2.6256,1.1259,2019-08-25 19:45:00,0.7446,0.1745,0.0809
13094,TRUE,102,Sampdoria,SAM,96,Lazio,LAZ,0,3,0.627446,1.54375,2019-08-25 19:45:00,0.1234,0.2434,0.6332
13095,TRUE,221,SPAL 2013,SPL,107,Atalanta,ATA,2,3,1.48495,1.70129,2019-08-25 19:45:00,0.3139,0.2756,0.4105
13096,TRUE,113,Torino,TOR,104,Sassuolo,SAS,2,1,1.87227,1.35208,2019-08-25 19:45:00,0.5104,0.243,0.2466
13097,TRUE,116,Cagliari,CAG,242,Brescia,BSC,0,1,0.998907,1.32688,2019-08-25 19:45:00,0.2305,0.3051,0.4644
13098,TRUE,106,Inter,INT,243,Lecce,LEC,4,0,2.14366,0.408768,2019-08-26 19:45:00,0.8144,0.1393,0.0463
13099,TRUE,97,Bologna,BOL,221,SPAL 2013,SPL,1,0,3.76497,0.850525,2019-08-30 19:45:00,0.9312,0.0529,0.0159
13100,TRUE,111,AC Milan,MIL,242,Brescia,BSC,1,0,1.9308,0.860645,2019-08-31 17:00:00,0.6548,0.2363,0.1089
13101,TRUE,98,Juventus,JUV,105,Napoli,NAP,4,3,2.0077,1.58762,2019-08-31 18:45:00,0.4818,0.2563,0.2619
13102,TRUE,96,Lazio,LAZ,95,Roma,ROM,1,1,2.07207,1.19504,2019-09-01 17:00:00,0.5956,0.2451,0.1593
13103,TRUE,243,Lecce,LEC,94,Verona,VER,0,1,0.994717,1.824,2019-09-01 19:45:00,0.1729,0.24,0.5871
13104,TRUE,107,Atalanta,ATA,113,Torino,TOR,2,3,1.83194,0.684714,2019-09-01 19:45:00,0.6645,0.2186,0.1169
13105,TRUE,116,Cagliari,CAG,106,Inter,INT,1,2,0.479896,1.77917,2019-09-01 19:45:00,0.0471,0.1762,0.7767
13106,TRUE,101,Genoa,GEN,110,Fiorentina,FIO,2,1,2.41153,1.80442,2019-09-01 19:45:00,0.5171,0.2241,0.2588
13107,TRUE,104,Sassuolo,SAS,102,Sampdoria,SAM,4,1,2.66279,1.24293,2019-09-01 19:45:00,0.7253,0.1797,0.095
13108,TRUE,99,Udinese,UDI,230,Parma Calcio 1913,PAR,1,3,1.69727,1.21449,2019-09-01 19:45:00,0.4714,0.2794,0.2492
13110,TRUE,110,Fiorentina,FIO,98,Juventus,JUV,0,0,1.47787,0.324648,2019-09-14 13:00:00,0.7041,0.2306,0.0653
13114,TRUE,105,Napoli,NAP,102,Sampdoria,SAM,2,0,1.72924,1.69786,2019-09-14 16:00:00,0.3525,0.2768,0.3707
13113,TRUE,106,Inter,INT,99,Udinese,UDI,1,0,1.56746,0.250925,2019-09-14 18:45:00,0.7696,0.1877,0.0427
13111,TRUE,101,Genoa,GEN,107,Atalanta,ATA,1,2,1.35423,2.43373,2019-09-15 10:30:00,0.1328,0.2226,0.6446
13109,TRUE,242,Brescia,BSC,97,Bologna,BOL,3,4,1.14311,3.68503,2019-09-15 13:00:00,0.0196,0.0757,0.9047
13115,TRUE,230,Parma Calcio 1913,PAR,116,Cagliari,CAG,1,3,1.33287,0.684256,2019-09-15 13:00:00,0.528,0.2894,0.1826
13117,TRUE,221,SPAL 2013,SPL,96,Lazio,LAZ,2,1,1.10476,1.46024,2019-09-15 13:00:00,0.2466,0.2946,0.4588
13116,TRUE,95,Roma,ROM,104,Sassuolo,SAS,4,2,2.96035,0.84997,2019-09-15 16:00:00,0.8445,0.1062,0.0493
13112,TRUE,94,Verona,VER,111,AC Milan,MIL,0,1,0.465316,1.47177,2019-09-15 18:45:00,0.0775,0.2285,0.694
13118,TRUE,113,Torino,TOR,243,Lecce,LEC,1,2,1.5512,1.25479,2019-09-16 18:45:00,0.4504,0.2808,0.2688
13121,TRUE,116,Cagliari,CAG,101,Genoa,GEN,3,1,1.24675,1.61461,2019-09-20 18:45:00,0.2706,0.2713,0.4581
13128,TRUE,99,Udinese,UDI,242,Brescia,BSC,0,1,0.505205,0.810849,2019-09-21 13:00:00,0.186,0.3849,0.4291
