id,player,team_name,x,y,xg,shottype,situation,result,league_name,year
395848,Ollie Watkins,Aston Villa,0.78,0.3270000076293945,0.02442961186170578,RightFoot,OpenPlay,MissedShots,EPL,2020
396244,Ollie Watkins,Aston Villa,0.9230000305175782,0.305,0.020310021936893463,RightFoot,FromCorner,BlockedShot,EPL,2020
396253,Ollie Watkins,Aston Villa,0.9590000152587891,0.42900001525878906,0.3715932369232178,Head,OpenPlay,SavedShot,EPL,2020
396262,Ollie Watkins,Aston Villa,0.935,0.5120000076293946,0.06602199375629425,Head,OpenPlay,MissedShots,EPL,2020
378460,Jack Grealish,Aston Villa,0.805,0.4809999847412109,0.06018497794866562,RightFoot,OpenPlay,MissedShots,EPL,2020
378466,Jack Grealish,Aston Villa,0.840999984741211,0.595999984741211,0.08635164052248001,RightFoot,OpenPlay,MissedShots,EPL,2020
378469,Jack Grealish,Aston Villa,0.8640000152587891,0.6079999923706054,0.12824329733848572,LeftFoot,OpenPlay,BlockedShot,EPL,2020
379946,Jack Grealish,Aston Villa,0.9540000152587891,0.37099998474121093,0.3199513554573059,RightFoot,OpenPlay,Goal,EPL,2020
379958,Jack Grealish,Aston Villa,0.885,0.7190000152587891,0.05350573733448982,RightFoot,OpenPlay,BlockedShot,EPL,2020
379964,Jack Grealish,Aston Villa,0.9530000305175781,0.6370000076293946,0.09287936985492706,RightFoot,OpenPlay,MissedShots,EPL,2020
381510,Jack Grealish,Aston Villa,0.8490000152587891,0.6419999694824219,0.08564992249011993,RightFoot,OpenPlay,Goal,EPL,2020
381512,Jack Grealish,Aston Villa,0.8619999694824219,0.555,0.25115877389907837,RightFoot,OpenPlay,Goal,EPL,2020
381519,Jack Grealish,Aston Villa,0.88,0.649000015258789,0.044373318552970886,RightFoot,OpenPlay,BlockedShot,EPL,2020
383013,Jack Grealish,Aston Villa,0.9069999694824219,0.6530000305175782,0.2898904085159302,LeftFoot,OpenPlay,BlockedShot,EPL,2020
383023,Jack Grealish,Aston Villa,0.9290000152587891,0.43599998474121093,0.46618345379829407,RightFoot,OpenPlay,SavedShot,EPL,2020
384947,Jack Grealish,Aston Villa,0.885,0.6990000152587891,0.05479941889643669,RightFoot,OpenPlay,BlockedShot,EPL,2020
384949,Jack Grealish,Aston Villa,0.92,0.710999984741211,0.04529819265007973,RightFoot,FromCorner,BlockedShot,EPL,2020
384956,Jack Grealish,Aston Villa,0.919000015258789,0.5779999923706055,0.475380003452301,Head,OpenPlay,SavedShot,EPL,2020
384967,Jack Grealish,Aston Villa,0.9209999847412109,0.740999984741211,0.03341583162546158,RightFoot,OpenPlay,BlockedShot,EPL,2020
384971,Jack Grealish,Aston Villa,0.8919999694824219,0.6170000076293946,0.09986957907676697,RightFoot,OpenPlay,BlockedShot,EPL,2020
384972,Jack Grealish,Aston Villa,0.8090000152587891,0.7440000152587891,0.013103124685585499,RightFoot,OpenPlay,Goal,EPL,2020
386897,Jack Grealish,Aston Villa,0.919000015258789,0.66,0.08288626372814178,LeftFoot,OpenPlay,BlockedShot,EPL,2020
386905,Jack Grealish,Aston Villa,0.965999984741211,0.6509999847412109,0.0947432592511177,RightFoot,OpenPlay,SavedShot,EPL,2020
386906,Jack Grealish,Aston Villa,0.8290000152587891,0.39,0.03419528901576996,RightFoot,FromCorner,BlockedShot,EPL,2020
386915,Jack Grealish,Aston Villa,0.89,0.64,0.09212011843919754,RightFoot,OpenPlay,BlockedShot,EPL,2020
386914,Jack Grealish,Aston Villa,0.9059999847412109,0.61,0.1254105567932129,RightFoot,OpenPlay,BlockedShot,EPL,2020
387366,Jack Grealish,Aston Villa,0.7480000305175781,0.37,0.023185864090919495,LeftFoot,OpenPlay,BlockedShot,EPL,2020
389823,Jack Grealish,Aston Villa,0.7919999694824219,0.40700000762939453,0.03400260582566261,RightFoot,OpenPlay,Goal,EPL,2020
389830,Jack Grealish,Aston Villa,0.9069999694824219,0.7819999694824219,0.0232348944991827,LeftFoot,OpenPlay,SavedShot,EPL,2020
389838,Jack Grealish,Aston Villa,0.7859999847412109,0.6029999923706054,0.026704076677560806,RightFoot,SetPiece,BlockedShot,EPL,2020
391401,Jack Grealish,Aston Villa,0.925,0.7030000305175781,0.06272420287132263,RightFoot,OpenPlay,BlockedShot,EPL,2020
391409,Jack Grealish,Aston Villa,0.9719999694824218,0.6580000305175782,0.05986717715859413,RightFoot,OpenPlay,BlockedShot,EPL,2020
391416,Jack Grealish,Aston Villa,0.8680000305175781,0.7280000305175781,0.03349585831165314,RightFoot,OpenPlay,BlockedShot,EPL,2020
391418,Jack Grealish,Aston Villa,0.7630000305175781,0.27299999237060546,0.04373255744576454,RightFoot,DirectFreekick,MissedShots,EPL,2020
393645,Jack Grealish,Aston Villa,0.86,0.6869999694824219,0.05075865611433983,RightFoot,OpenPlay,BlockedShot,EPL,2020
393653,Jack Grealish,Aston Villa,0.754000015258789,0.6940000152587891,0.013676267117261887,RightFoot,OpenPlay,BlockedShot,EPL,2020
393657,Jack Grealish,Aston Villa,0.9059999847412109,0.41,0.08591520041227341,RightFoot,OpenPlay,MissedShots,EPL,2020
393662,Jack Grealish,Aston Villa,0.775,0.42700000762939455,0.027353866025805473,RightFoot,FromCorner,BlockedShot,EPL,2020
393674,Jack Grealish,Aston Villa,0.9,0.7119999694824218,0.05100858584046364,LeftFoot,OpenPlay,MissedShots,EPL,2020
393677,Jack Grealish,Aston Villa,0.855999984741211,0.5879999923706055,0.1172190010547638,RightFoot,OpenPlay,MissedShots,EPL,2020
394778,Jack Grealish,Aston Villa,0.870999984741211,0.7190000152587891,0.049502089619636536,RightFoot,OpenPlay,SavedShot,EPL,2020
395635,Jack Grealish,Aston Villa,0.8909999847412109,0.590999984741211,0.2902671694755554,LeftFoot,OpenPlay,SavedShot,EPL,2020
395641,Jack Grealish,Aston Villa,0.905,0.6,0.11088763177394867,LeftFoot,OpenPlay,BlockedShot,EPL,2020
395843,Jack Grealish,Aston Villa,0.8490000152587891,0.7090000152587891,0.028327804058790207,RightFoot,OpenPlay,SavedShot,EPL,2020
391427,Anwar El Ghazi,Aston Villa,0.885,0.5,0.7611688375473022,RightFoot,Penalty,Goal,EPL,2020
393648,Anwar El Ghazi,Aston Villa,0.8180000305175781,0.7119999694824218,0.029148897156119347,RightFoot,OpenPlay,BlockedShot,EPL,2020
393652,Anwar El Ghazi,Aston Villa,0.7369999694824219,0.5609999847412109,0.02136414311826229,RightFoot,OpenPlay,MissedShots,EPL,2020
393658,Anwar El Ghazi,Aston Villa,0.74,0.620999984741211,0.049707211554050446,RightFoot,DirectFreekick,SavedShot,EPL,2020
393664,Anwar El Ghazi,Aston Villa,0.730999984741211,0.5120000076293946,0.015129881910979748,RightFoot,OpenPlay,MissedShots,EPL,2020
393665,Anwar El Ghazi,Aston Villa,0.87,0.6819999694824219,0.050326328724622726,RightFoot,OpenPlay,SavedShot,EPL,2020
393667,Anwar El Ghazi,Aston Villa,0.8569999694824219,0.639000015258789,0.0619744248688221,RightFoot,OpenPlay,BlockedShot,EPL,2020
393670,Anwar El Ghazi,Aston Villa,0.8830000305175781,0.6120000076293945,0.09793656319379807,RightFoot,OpenPlay,SavedShot,EPL,2020
393673,Anwar El Ghazi,Aston Villa,0.769000015258789,0.5259999847412109,0.031193476170301437,RightFoot,OpenPlay,MissedShots,EPL,2020
394771,Anwar El Ghazi,Aston Villa,0.9830000305175781,0.5429999923706055,0.6609469056129456,RightFoot,OpenPlay,Goal,EPL,2020
394777,Anwar El Ghazi,Aston Villa,0.6659999847412109,0.725,0.014314617030322552,RightFoot,OpenPlay,SavedShot,EPL,2020
394776,Anwar El Ghazi,Aston Villa,0.7519999694824219,0.5029999923706054,0.06663205474615097,RightFoot,DirectFreekick,BlockedShot,EPL,2020
394780,Anwar El Ghazi,Aston Villa,0.7469999694824219,0.44599998474121094,0.028868990018963814,RightFoot,OpenPlay,BlockedShot,EPL,2020
394781,Anwar El Ghazi,Aston Villa,0.7319999694824219,0.700999984741211,0.014154203236103058,RightFoot,OpenPlay,SavedShot,EPL,2020
394784,Anwar El Ghazi,Aston Villa,0.86,0.5179999923706055,0.11649183928966522,LeftFoot,OpenPlay,SavedShot,EPL,2020
394787,Anwar El Ghazi,Aston Villa,0.885,0.5,0.7611688375473022,RightFoot,Penalty,Goal,EPL,2020
394788,Anwar El Ghazi,Aston Villa,0.8690000152587891,0.5820000076293945,0.11629191040992737,RightFoot,OpenPlay,SavedShot,EPL,2020
395637,Anwar El Ghazi,Aston Villa,0.9630000305175781,0.48700000762939455,0.6962262988090515,RightFoot,FromCorner,SavedShot,EPL,2020
395639,Anwar El Ghazi,Aston Villa,0.8130000305175781,0.6409999847412109,0.042347103357315063,RightFoot,OpenPlay,MissedShots,EPL,2020
395640,Anwar El Ghazi,Aston Villa,0.899000015258789,0.585,0.30552712082862854,RightFoot,OpenPlay,SavedShot,EPL,2020
395646,Anwar El Ghazi,Aston Villa,0.7830000305175782,0.37599998474121094,0.03702934458851814,RightFoot,OpenPlay,SavedShot,EPL,2020
395653,Anwar El Ghazi,Aston Villa,0.874000015258789,0.34799999237060547,0.12224474549293518,RightFoot,OpenPlay,Goal,EPL,2020
395844,Anwar El Ghazi,Aston Villa,0.8719999694824219,0.35,0.0435941182076931,RightFoot,FromCorner,BlockedShot,EPL,2020
395855,Anwar El Ghazi,Aston Villa,0.955999984741211,0.5870000076293945,0.3538708984851837,RightFoot,OpenPlay,Goal,EPL,2020
396248,Anwar El Ghazi,Aston Villa,0.7519999694824219,0.6530000305175782,0.014526369981467724,RightFoot,OpenPlay,BlockedShot,EPL,2020
396254,Anwar El Ghazi,Aston Villa,0.8719999694824219,0.7069999694824218,0.04517466947436333,RightFoot,OpenPlay,MissedShots,EPL,2020
396260,Anwar El Ghazi,Aston Villa,0.8440000152587891,0.695,0.03695753961801529,LeftFoot,OpenPlay,SavedShot,EPL,2020
381521,Bertrand Traoré,Aston Villa,0.8469999694824218,0.3060000038146973,0.045103128999471664,LeftFoot,OpenPlay,BlockedShot,EPL,2020
382810,Bertrand Traoré,Aston Villa,0.8880000305175781,0.4520000076293945,0.05569036304950714,Head,OpenPlay,SavedShot,EPL,2020
