id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
2249,TRUE,162,SC Bastia,BAS,161,Paris Saint Germain,PSG,0,1,0.828385,0.664887,2016-08-12 22:00:00,0.3629,0.3789,0.2582
2250,TRUE,171,Monaco,MON,169,Guingamp,GUI,2,2,2.49641,0.699022,2016-08-12 22:30:00,0.831,0.1269,0.0421
2251,TRUE,176,Bordeaux,BOR,175,Saint-Etienne,SEN,3,2,1.16592,1.50131,2016-08-13 19:00:00,0.2683,0.2894,0.4423
2252,TRUE,166,Montpellier,MPL,167,Angers,ANG,1,0,0.879179,0.49342,2016-08-13 22:00:00,0.4457,0.3675,0.1868
2253,TRUE,165,Caen,CAE,179,Lorient,LOR,3,2,2.27284,1.9864,2016-08-13 22:00:00,0.4333,0.2611,0.3056
2254,TRUE,180,Metz,MET,160,Lille,LIL,3,2,2.31706,1.87778,2016-08-13 22:00:00,0.4874,0.2684,0.2442
2255,TRUE,181,Dijon,DJN,168,Nantes,NAN,0,1,0.294202,1.31806,2016-08-13 22:00:00,0.0669,0.2396,0.6935
2256,TRUE,182,Nancy,NAN,178,Lyon,LYO,0,3,0.378703,2.32475,2016-08-14 17:00:00,0.0291,0.1033,0.8676
2257,TRUE,170,Nice,NIC,163,Rennes,REN,1,0,0.704696,1.16856,2016-08-14 19:00:00,0.2019,0.3142,0.4839
2258,TRUE,164,Marseille,MAR,174,Toulouse,TOU,0,0,0.372135,0.254141,2016-08-14 22:45:00,0.2597,0.5822,0.1581
2259,TRUE,178,Lyon,LYO,165,Caen,CAE,2,0,2.84412,0.458346,2016-08-19 22:45:00,0.917,0.0664,0.0166
2260,TRUE,168,Nantes,NAN,171,Monaco,MON,0,1,0.322377,0.545027,2016-08-20 19:00:00,0.1681,0.4822,0.3497
2261,TRUE,174,Toulouse,TOU,176,Bordeaux,BOR,4,1,1.58483,0.7395,2016-08-20 22:00:00,0.6191,0.2475,0.1334
2262,TRUE,167,Angers,ANG,170,Nice,NIC,0,1,1.21118,2.06104,2016-08-20 22:00:00,0.1709,0.2331,0.596
2263,TRUE,163,Rennes,REN,182,Nancy,NAN,2,0,0.457521,0.968592,2016-08-20 22:00:00,0.1176,0.3344,0.548
2264,TRUE,179,Lorient,LOR,162,SC Bastia,BAS,0,3,0.349438,2.25743,2016-08-20 22:00:00,0.0204,0.1043,0.8753
2265,TRUE,160,Lille,LIL,181,Dijon,DJN,1,0,0.877699,0.524902,2016-08-20 22:00:00,0.4297,0.3668,0.2035
2266,TRUE,169,Guingamp,GUI,164,Marseille,MAR,2,1,1.24688,0.719975,2016-08-21 17:00:00,0.4848,0.3231,0.1921
2267,TRUE,175,Saint-Etienne,SEN,166,Montpellier,MPL,3,1,1.58901,1.46843,2016-08-21 19:00:00,0.3698,0.2951,0.3351
2268,TRUE,161,Paris Saint Germain,PSG,180,Metz,MET,3,0,3.85662,0.996438,2016-08-21 22:45:00,0.9157,0.059,0.0253
2269,TRUE,164,Marseille,MAR,179,Lorient,LOR,2,0,1.46546,0.486662,2016-08-26 22:45:00,0.6444,0.2485,0.1071
2270,TRUE,181,Dijon,DJN,178,Lyon,LYO,4,2,1.99507,2.38079,2016-08-27 19:00:00,0.3026,0.2424,0.455
2271,TRUE,165,Caen,CAE,162,SC Bastia,BAS,2,0,2.04065,0.376246,2016-08-27 22:00:00,0.8308,0.1378,0.0314
2272,TRUE,180,Metz,MET,167,Angers,ANG,2,0,0.448001,1.10689,2016-08-27 22:00:00,0.1428,0.34,0.5172
2273,TRUE,182,Nancy,NAN,169,Guingamp,GUI,0,2,1.42221,1.59434,2016-08-27 22:00:00,0.3065,0.2966,0.3969
2274,TRUE,166,Montpellier,MPL,163,Rennes,REN,1,1,0.999105,1.0107,2016-08-27 22:00:00,0.3358,0.3308,0.3334
2275,TRUE,170,Nice,NIC,160,Lille,LIL,1,1,1.7221,0.415974,2016-08-27 22:00:00,0.7528,0.184,0.0632
2276,TRUE,176,Bordeaux,BOR,168,Nantes,NAN,1,0,1.70798,0.74034,2016-08-28 17:00:00,0.6822,0.2144,0.1034
