id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
1021,TRUE,117,Bayern Munich,BAY,118,Hamburger SV,HAM,5,0,3.22904,0.154234,2015-08-14 22:30:00,0.972,0.0257,0.0023
1022,TRUE,119,Bayer Leverkusen,LEV,120,Hoffenheim,HOF,2,1,3.52773,0.483949,2015-08-15 17:30:00,0.9479,0.0436,0.0085
1023,TRUE,121,Augsburg,AUG,122,Hertha Berlin,HER,0,1,1.14869,1.23291,2015-08-15 17:30:00,0.3015,0.3114,0.3871
1024,TRUE,123,Werder Bremen,WER,124,Schalke 04,SCH,0,3,0.914717,1.4498,2015-08-15 17:30:00,0.2193,0.2746,0.5061
1025,TRUE,125,Mainz 05,MAI,126,Ingolstadt,ING,0,1,0.547769,0.577316,2015-08-15 17:30:00,0.2828,0.4288,0.2884
1026,TRUE,127,Darmstadt,DAR,128,Hannover 96,HAN,2,2,1.80912,1.85731,2015-08-15 17:30:00,0.3461,0.2809,0.373
1027,TRUE,129,Borussia Dortmund,DOR,130,Borussia M.Gladbach,BMG,4,0,2.42013,0.18521,2015-08-15 20:30:00,0.9246,0.0676,0.0078
1028,TRUE,131,Wolfsburg,WOL,132,Eintracht Frankfurt,EIN,2,1,0.740041,0.950098,2015-08-16 17:30:00,0.2627,0.362,0.3753
1029,TRUE,133,VfB Stuttgart,STU,134,FC Cologne,COL,1,3,2.98558,1.85087,2015-08-16 19:30:00,0.6438,0.2076,0.1486
1030,TRUE,122,Hertha Berlin,HER,123,Werder Bremen,WER,1,1,0.494279,0.957641,2015-08-21 22:30:00,0.1465,0.3386,0.5149
1031,TRUE,120,Hoffenheim,HOF,117,Bayern Munich,BAY,1,2,1.29953,2.53588,2015-08-22 17:30:00,0.1222,0.1982,0.6796
1032,TRUE,124,Schalke 04,SCH,127,Darmstadt,DAR,1,1,1.05775,0.790379,2015-08-22 17:30:00,0.4052,0.3312,0.2636
1033,TRUE,132,Eintracht Frankfurt,EIN,121,Augsburg,AUG,1,1,0.945278,1.26112,2015-08-22 17:30:00,0.2589,0.3226,0.4185
1034,TRUE,134,FC Cologne,COL,131,Wolfsburg,WOL,1,1,1.37825,2.14017,2015-08-22 17:30:00,0.1832,0.2466,0.5702
1035,TRUE,128,Hannover 96,HAN,119,Bayer Leverkusen,LEV,0,1,0.0975496,1.37365,2015-08-22 17:30:00,0.0172,0.1961,0.7867
1036,TRUE,118,Hamburger SV,HAM,133,VfB Stuttgart,STU,3,2,1.32114,1.89549,2015-08-22 20:30:00,0.2193,0.2533,0.5274
1037,TRUE,126,Ingolstadt,ING,129,Borussia Dortmund,DOR,0,4,0.0514071,3.63386,2015-08-23 17:30:00,0.0008,0.0098,0.9894
1038,TRUE,130,Borussia M.Gladbach,BMG,125,Mainz 05,MAI,1,2,1.22742,2.01071,2015-08-23 19:30:00,0.1971,0.2266,0.5763
1039,TRUE,131,Wolfsburg,WOL,124,Schalke 04,SCH,3,0,1.52939,0.748153,2015-08-28 22:30:00,0.616,0.2539,0.1301
1040,TRUE,133,VfB Stuttgart,STU,132,Eintracht Frankfurt,EIN,1,4,2.52237,1.9601,2015-08-29 17:30:00,0.5205,0.2971,0.1824
1041,TRUE,121,Augsburg,AUG,126,Ingolstadt,ING,0,1,0.832315,1.24787,2015-08-29 17:30:00,0.2269,0.3198,0.4533
1042,TRUE,134,FC Cologne,COL,118,Hamburger SV,HAM,2,1,1.67081,1.44461,2015-08-29 17:30:00,0.4273,0.2912,0.2815
1043,TRUE,125,Mainz 05,MAI,128,Hannover 96,HAN,3,0,3.41346,0.373166,2015-08-29 17:30:00,0.9637,0.0307,0.0056
1044,TRUE,127,Darmstadt,DAR,120,Hoffenheim,HOF,0,0,0.287238,1.3935,2015-08-29 17:30:00,0.0372,0.1975,0.7653
1045,TRUE,117,Bayern Munich,BAY,119,Bayer Leverkusen,LEV,3,0,3.52476,0.420202,2015-08-29 20:30:00,0.9679,0.0269,0.0052
1046,TRUE,129,Borussia Dortmund,DOR,122,Hertha Berlin,HER,3,1,3.73248,0.633538,2015-08-30 17:30:00,0.9654,0.0294,0.0052
1047,TRUE,123,Werder Bremen,WER,130,Borussia M.Gladbach,BMG,2,1,3.23257,0.755739,2015-08-30 19:30:00,0.9205,0.0643,0.0152
1048,TRUE,130,Borussia M.Gladbach,BMG,118,Hamburger SV,HAM,0,3,0.436066,1.02932,2015-09-11 22:30:00,0.1302,0.3393,0.5305
1049,TRUE,117,Bayern Munich,BAY,121,Augsburg,AUG,2,1,3.85642,0.15319,2015-09-12 17:30:00,0.9926,0.0067,0.0007
1050,TRUE,128,Hannover 96,HAN,129,Borussia Dortmund,DOR,2,4,0.582795,2.16909,2015-09-12 17:30:00,0.0379,0.1339,0.8282
1051,TRUE,122,Hertha Berlin,HER,133,VfB Stuttgart,STU,2,1,1.47686,1.02726,2015-09-12 17:30:00,0.4867,0.2885,0.2248
1052,TRUE,126,Ingolstadt,ING,131,Wolfsburg,WOL,0,0,0.178191,0.732037,2015-09-12 17:30:00,0.0818,0.4564,0.4618
1053,TRUE,119,Bayer Leverkusen,LEV,127,Darmstadt,DAR,0,1,1.3554,0.284787,2015-09-12 17:30:00,0.6875,0.2466,0.0659
1054,TRUE,132,Eintracht Frankfurt,EIN,134,FC Cologne,COL,6,2,2.93005,0.902695,2015-09-12 20:30:00,0.835,0.1124,0.0526
1055,TRUE,120,Hoffenheim,HOF,123,Werder Bremen,WER,1,3,0.694948,2.2128,2015-09-13 17:30:00,0.0608,0.1561,0.7831
