id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
10337,TRUE,117,Bayern Munich,BAY,120,Hoffenheim,HOF,3,1,3.08883,0.697274,2018-08-24 21:30:00,0.9052,0.0745,0.0203
10338,TRUE,131,Wolfsburg,WOL,124,Schalke 04,SCH,2,1,1.31029,1.86154,2018-08-25 16:30:00,0.1996,0.2822,0.5182
10339,TRUE,233,Fortuna Duesseldorf,FOR,121,Augsburg,AUG,1,2,1.32783,0.755029,2018-08-25 16:30:00,0.5292,0.2869,0.1839
10340,TRUE,122,Hertha Berlin,HER,234,Nuernberg,NUE,1,0,1.03309,1.34412,2018-08-25 16:30:00,0.2221,0.3535,0.4244
10341,TRUE,123,Werder Bremen,WER,128,Hannover 96,HAN,1,1,1.91197,0.840127,2018-08-25 16:30:00,0.6637,0.2102,0.1261
10342,TRUE,135,Freiburg,FRE,132,Eintracht Frankfurt,EIN,0,2,1.46674,0.81415,2018-08-25 16:30:00,0.5345,0.2758,0.1897
10343,TRUE,130,Borussia M.Gladbach,BMG,119,Bayer Leverkusen,LEV,2,0,3.34179,1.05775,2018-08-25 19:30:00,0.8723,0.0867,0.041
10344,TRUE,125,Mainz 05,MAI,133,VfB Stuttgart,STU,1,0,1.28621,1.07847,2018-08-26 16:30:00,0.4095,0.3072,0.2833
10345,TRUE,129,Borussia Dortmund,DOR,136,RasenBallsport Leipzig,RBL,4,1,1.96153,1.46268,2018-08-26 19:00:00,0.4946,0.2595,0.2459
10346,TRUE,128,Hannover 96,HAN,129,Borussia Dortmund,DOR,0,0,0.462033,0.842511,2018-08-31 21:30:00,0.1758,0.3841,0.4401
10347,TRUE,234,Nuernberg,NUE,125,Mainz 05,MAI,1,1,1.56238,0.367667,2018-09-01 13:30:00,0.7305,0.2064,0.0631
10348,TRUE,132,Eintracht Frankfurt,EIN,123,Werder Bremen,WER,1,2,1.25306,1.34271,2018-09-01 13:30:00,0.3259,0.314,0.3601
10349,TRUE,121,Augsburg,AUG,130,Borussia M.Gladbach,BMG,1,1,1.7521,1.31189,2018-09-01 13:30:00,0.4745,0.2737,0.2518
10350,TRUE,120,Hoffenheim,HOF,135,Freiburg,FRE,3,1,3.48013,1.53718,2018-09-01 13:30:00,0.8078,0.1216,0.0706
10351,TRUE,119,Bayer Leverkusen,LEV,131,Wolfsburg,WOL,1,3,0.877655,2.13508,2018-09-01 13:30:00,0.1049,0.1864,0.7087
10352,TRUE,133,VfB Stuttgart,STU,117,Bayern Munich,BAY,0,3,0.0990837,1.71434,2018-09-01 16:30:00,0.0187,0.1863,0.795
10353,TRUE,136,RasenBallsport Leipzig,RBL,233,Fortuna Duesseldorf,FOR,1,1,2.25033,1.43691,2018-09-02 13:30:00,0.5713,0.2212,0.2075
10354,TRUE,124,Schalke 04,SCH,122,Hertha Berlin,HER,0,2,1.59561,0.566284,2018-09-02 16:00:00,0.669,0.2418,0.0892
10355,TRUE,129,Borussia Dortmund,DOR,132,Eintracht Frankfurt,EIN,3,1,1.95503,0.199314,2018-09-14 18:30:00,0.929,0.0656,0.0054
10356,TRUE,136,RasenBallsport Leipzig,RBL,128,Hannover 96,HAN,3,2,2.35222,0.950644,2018-09-15 13:30:00,0.7334,0.1636,0.103
