id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
5447,TRUE,117,Bayern Munich,BAY,131,Wolfsburg,WOL,2,1,2.57012,1.19842,2014-08-22 19:30:00,0.7224,0.1814,0.0962
5448,TRUE,120,Hoffenheim,HOF,121,Augsburg,AUG,2,0,1.52873,0.280777,2014-08-23 14:30:00,0.7788,0.1768,0.0444
5449,TRUE,128,Hannover 96,HAN,124,Schalke 04,SCH,2,1,1.17979,0.956665,2014-08-23 14:30:00,0.4179,0.3115,0.2706
5450,TRUE,122,Hertha Berlin,HER,123,Werder Bremen,WER,2,2,1.75585,1.19453,2014-08-23 14:30:00,0.5051,0.319,0.1759
5451,TRUE,132,Eintracht Frankfurt,EIN,135,Freiburg,FRE,1,0,1.75331,1.38084,2014-08-23 14:30:00,0.4641,0.2547,0.2812
5452,TRUE,134,FC Cologne,COL,118,Hamburger SV,HAM,0,0,0.522276,0.913337,2014-08-23 14:30:00,0.1907,0.3641,0.4452
5453,TRUE,129,Borussia Dortmund,DOR,119,Bayer Leverkusen,LEV,0,2,0.482324,1.14915,2014-08-23 17:30:00,0.1428,0.3095,0.5477
5454,TRUE,205,Paderborn,PAD,125,Mainz 05,MAI,2,2,0.35254,1.84123,2014-08-24 14:30:00,0.0317,0.1405,0.8278
5455,TRUE,130,Borussia M.Gladbach,BMG,133,VfB Stuttgart,STU,1,1,2.40939,0.433199,2014-08-24 16:30:00,0.8594,0.1092,0.0314
5456,TRUE,121,Augsburg,AUG,129,Borussia Dortmund,DOR,2,3,1.00422,2.30342,2014-08-29 19:30:00,0.1219,0.1884,0.6897
5457,TRUE,123,Werder Bremen,WER,120,Hoffenheim,HOF,1,1,2.51429,1.29948,2014-08-30 14:30:00,0.6796,0.2082,0.1122
5458,TRUE,133,VfB Stuttgart,STU,134,FC Cologne,COL,0,2,0.722885,1.2983,2014-08-30 14:30:00,0.1737,0.2973,0.529
5459,TRUE,118,Hamburger SV,HAM,205,Paderborn,PAD,0,3,1.14049,2.37004,2014-08-30 14:30:00,0.0921,0.1897,0.7182
5460,TRUE,119,Bayer Leverkusen,LEV,122,Hertha Berlin,HER,4,2,2.53036,0.712547,2014-08-30 14:30:00,0.8156,0.1395,0.0449
5461,TRUE,131,Wolfsburg,WOL,132,Eintracht Frankfurt,EIN,2,2,1.00484,1.59633,2014-08-30 14:30:00,0.1881,0.2795,0.5324
5462,TRUE,124,Schalke 04,SCH,117,Bayern Munich,BAY,1,1,1.30795,1.50328,2014-08-30 17:30:00,0.2651,0.3452,0.3897
5463,TRUE,125,Mainz 05,MAI,128,Hannover 96,HAN,0,0,1.0088,0.561787,2014-08-31 14:30:00,0.4571,0.3527,0.1902
5464,TRUE,135,Freiburg,FRE,130,Borussia M.Gladbach,BMG,0,0,1.30113,0.321709,2014-08-31 16:30:00,0.7037,0.2368,0.0595
5411,TRUE,119,Bayer Leverkusen,LEV,123,Werder Bremen,WER,3,3,1.98321,1.72618,2014-09-12 19:30:00,0.4268,0.2427,0.3305
5412,TRUE,120,Hoffenheim,HOF,131,Wolfsburg,WOL,1,1,1.15845,1.63553,2014-09-13 14:30:00,0.2355,0.2878,0.4767
5413,TRUE,117,Bayern Munich,BAY,133,VfB Stuttgart,STU,2,0,1.22987,0.310166,2014-09-13 14:30:00,0.6226,0.291,0.0864
5414,TRUE,129,Borussia Dortmund,DOR,135,Freiburg,FRE,3,1,1.71642,0.261915,2014-09-13 14:30:00,0.7627,0.1937,0.0436
5415,TRUE,122,Hertha Berlin,HER,125,Mainz 05,MAI,1,3,1.71631,2.36643,2014-09-13 14:30:00,0.2092,0.2533,0.5375
5416,TRUE,205,Paderborn,PAD,134,FC Cologne,COL,0,0,0.327136,0.386458,2014-09-13 14:30:00,0.1929,0.5372,0.2699
5417,TRUE,130,Borussia M.Gladbach,BMG,124,Schalke 04,SCH,4,1,3.37955,1.81788,2014-09-13 17:30:00,0.7136,0.1622,0.1242
5418,TRUE,132,Eintracht Frankfurt,EIN,121,Augsburg,AUG,0,1,0.845902,1.00028,2014-09-14 14:30:00,0.2929,0.319,0.3881
5419,TRUE,128,Hannover 96,HAN,118,Hamburger SV,HAM,2,0,2.22631,0.976735,2014-09-14 16:30:00,0.732,0.1814,0.0866
5420,TRUE,135,Freiburg,FRE,122,Hertha Berlin,HER,2,2,0.869782,0.285542,2014-09-19 19:30:00,0.4959,0.3865,0.1176
5421,TRUE,133,VfB Stuttgart,STU,120,Hoffenheim,HOF,0,2,1.32987,1.15033,2014-09-20 14:30:00,0.3832,0.3076,0.3092
5422,TRUE,118,Hamburger SV,HAM,117,Bayern Munich,BAY,0,0,0.203118,1.03519,2014-09-20 14:30:00,0.0643,0.3352,0.6005
5423,TRUE,124,Schalke 04,SCH,132,Eintracht Frankfurt,EIN,2,2,1.78008,0.83546,2014-09-20 14:30:00,0.6483,0.2235,0.1282
5424,TRUE,205,Paderborn,PAD,128,Hannover 96,HAN,2,0,2.05175,0.550873,2014-09-20 14:30:00,0.7831,0.1507,0.0662
5425,TRUE,121,Augsburg,AUG,123,Werder Bremen,WER,4,2,2.91201,2.02462,2014-09-20 14:30:00,0.5838,0.2218,0.1944
5426,TRUE,125,Mainz 05,MAI,129,Borussia Dortmund,DOR,2,0,0.974914,2.10376,2014-09-20 17:30:00,0.0976,0.2129,0.6895
5427,TRUE,131,Wolfsburg,WOL,119,Bayer Leverkusen,LEV,4,1,1.55879,0.616799,2014-09-21 14:30:00,0.6565,0.2359,0.1076
5428,TRUE,134,FC Cologne,COL,130,Borussia M.Gladbach,BMG,0,0,0.551855,0.772177,2014-09-21 16:30:00,0.2324,0.3899,0.3777
5429,TRUE,120,Hoffenheim,HOF,135,Freiburg,FRE,3,3,1.81502,2.44871,2014-09-23 19:00:00,0.2016,0.2541,0.5443
5430,TRUE,117,Bayern Munich,BAY,205,Paderborn,PAD,4,0,3.48286,0.402844,2014-09-23 19:00:00,0.9669,0.028,0.0051
5431,TRUE,123,Werder Bremen,WER,124,Schalke 04,SCH,0,3,0.992105,1.36741,2014-09-23 19:00:00,0.2427,0.3009,0.4564
