player_id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year,league_name
8865,Ollie Watkins,15,1350,6,9.086601056158543,2,2.0332620898261666,44,20,1,0,F,Aston Villa,5,7.564263425767422,10.73963438719511,3.1802491825073957,2020,EPL
675,Jack Grealish,15,1350,5,4.161457400768995,7,7.208462178707123,40,55,3,0,F M,Aston Villa,5,4.161457400768995,12.785905435681343,4.679981365799904,2020,EPL
5612,Anwar El Ghazi,9,482,5,4.594317369163036,0,0.8655061069875956,27,10,1,0,M S,Aston Villa,3,3.071979694068432,3.592623585835099,1.0368400178849697,2020,EPL
695,Bertrand Traoré,13,613,3,2.120703024789691,2,1.6244418136775494,18,10,0,0,F M S,Aston Villa,3,2.120703024789691,3.0624834708869457,0.5044782813638449,2020,EPL
592,Ross Barkley,6,454,2,1.5156230106949806,1,1.7673550993204117,17,15,0,0,M,Aston Villa,2,1.5156230106949806,3.5464003682136536,0.6672094240784645,2020,EPL
1024,Tyrone Mings,14,1214,2,1.5534009374678135,1,0.17744813300669193,10,5,3,1,D,Aston Villa,2,1.5534009374678135,2.9872728548943996,2.862076934427023,2020,EPL
7726,Ezri Konsa Ngoyo,13,1122,2,1.0203999504446983,0,0,8,0,1,0,D S,Aston Villa,2,1.0203999504446983,1.2530460078269243,1.2054399568587542,2020,EPL
6859,Kortney Hause,4,360,1,1.2494960576295853,0,0,3,0,1,0,D,Aston Villa,1,1.2494960576295853,1.2654046416282654,1.2654046416282654,2020,EPL
7721,Conor Hourihane,4,236,1,0.5679545402526855,1,0.9191879034042358,5,5,0,0,M S,Aston Villa,1,0.5679545402526855,0.6681759208440781,0.19055770710110664,2020,EPL
7723,John McGinn,15,1350,1,0.7683264994993806,4,1.8509910851716995,17,19,4,0,M,Aston Villa,1,0.7683264994993806,7.595859102904797,5.266544997692108,2020,EPL
884,Matt Targett,15,1350,0,0.1761269047856331,0,0.6713024973869324,3,13,4,0,D,Aston Villa,0,0.1761269047856331,3.783339537680149,3.4969089552760124,2020,EPL
1053,Keinan Davis,4,39,0,0.2483493685722351,0,0.025605756789445877,3,1,0,0,S,Aston Villa,0,0.2483493685722351,0.3910446763038635,0.14269530773162842,2020,EPL
1685,Ahmed Elmohamady,5,121,0,0.04797806218266487,0,0.3568394146859646,2,5,0,0,D S,Aston Villa,0,0.04797806218266487,0.9855438703671098,0.7056708270683885,2020,EPL
4401,Emiliano Martinez,15,1350,0,0,0,0,0,0,0,0,GK,Aston Villa,0,0,1.6301338151097298,1.6301338151097298,2020,EPL
6122,Douglas Luiz,14,1237,0,0.2880595847964287,1,0.9750439953058958,11,11,2,1,M,Aston Villa,0,0.2880595847964287,5.289007132872939,4.164284320548177,2020,EPL
7722,Trézéguet,9,735,0,2.5285392813384533,1,2.013985751196742,22,9,0,0,F M S,Aston Villa,0,2.5285392813384533,4.730545938014984,1.0563568081706762,2020,EPL
8040,Marvelous Nakamba,4,99,0,0.022241635248064995,0,0.02136414311826229,1,1,1,0,M S,Aston Villa,0,0.022241635248064995,0.10238517448306084,0.05877939611673355,2020,EPL
8864,Matthew Cash,14,1230,0,0.1561250202357769,2,1.0640197396278381,5,14,5,0,D,Aston Villa,0,0.1561250202357769,3.6177745312452316,2.805311281234026,2020,EPL
8941,Jacob Ramsey,5,116,0,0.19665885716676712,0,0.029147323220968246,4,1,0,0,M S,Aston Villa,0,0.19665885716676712,0.11526929214596748,0,2020,EPL
5555,Dominic Calvert-Lewin,16,1414,11,10.519729055464268,0,0.5689622573554516,45,8,3,0,F,Everton,11,10.519729055464268,10.932375241070986,2.6286318469792604,2020,EPL
1653,Michael Keane,16,1416,3,1.31937385071069,0,0.3760002888739109,9,3,0,0,D,Everton,3,1.31937385071069,3.755759134888649,3.607843816280365,2020,EPL
2249,James Rodríguez,12,972,3,2.2083449233323336,3,4.060683503746986,22,27,1,0,F S,Everton,3,2.2083449233323336,8.439021795988083,5.167269436642528,2020,EPL
714,Gylfi Sigurdsson,16,895,2,1.9719500374048948,2,1.6714106556028128,15,21,0,0,F M S,Everton,1,1.2107811849564314,2.5198233891278505,1.119610670953989,2020,EPL
6026,Richarlison,13,1015,2,3.51131827570498,3,2.312501988373697,30,11,2,1,F M S,Everton,1,2.7501494381576777,7.333010450005531,2.9381117448210716,2020,EPL
6521,Yerry Mina,15,1350,2,0.9477899596095085,0,0.01959897391498089,10,1,1,0,D,Everton,2,0.9477899596095085,3.409863842651248,3.397409750148654,2020,EPL
500,Alex Iwobi,15,863,1,0.5608450919389725,2,1.845314770936966,9,10,0,0,D F M S,Everton,1,0.5608450919389725,5.4467708095908165,3.2608179803937674,2020,EPL
985,Mason Holgate,8,714,1,1.278742415830493,0,0.13422563299536705,4,4,3,0,D,Everton,1,1.278742415830493,0.9766353815793991,0.9556789938360453,2020,EPL
1726,Abdoulaye Doucouré,17,1462,1,1.4885322488844395,2,1.3075741305947304,13,12,5,0,M,Everton,1,1.4885322488844395,6.42901124432683,4.673879083245993,2020,EPL
7063,Bernard,6,269,1,0.15892713330686092,0,0.3400069009512663,4,6,2,0,F M S,Everton,1,0.15892713330686092,0.8343431800603867,0.4033271372318268,2020,EPL
503,Theo Walcott,1,10,0,0,0,0,0,0,0,0,S,Everton,0,0,0,0,2020,EPL
585,Seamus Coleman,10,573,0,0.11404167301952839,1,0.6039552353322506,3,4,0,0,D S,Everton,0,0.11404167301952839,2.48305431753397,2.384823512285948,2020,EPL
