league,id,minute,result,x,y,x_g,player,h_a,player_id,situation,season,shot_type,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,last_action
Bundesliga,219798,1,BlockedShot,0.9030000305175782,0.5670000076293945,0.07514533400535583,Robert Lewandowski,h,227,SetPiece,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Joshua Kimmich,Cross
Bundesliga,219799,9,BlockedShot,0.8319999694824218,0.7069999694824218,0.026209386065602303,David Alaba,h,391,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Franck Ribéry,Pass
Bundesliga,219800,10,BlockedShot,0.9030000305175782,0.55,0.09435441344976425,Jérôme Boateng,h,220,FromCorner,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,NA,None
Bundesliga,219801,22,Goal,0.9669999694824218,0.5320000076293945,0.4878630042076111,Thomas Müller,h,224,FromCorner,2018,Head,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Joshua Kimmich,Aerial
Bundesliga,219803,30,BlockedShot,0.7719999694824219,0.43099998474121093,0.033843446522951126,Thiago Alcántara,h,229,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Franck Ribéry,Pass
Bundesliga,219804,31,BlockedShot,0.8119999694824219,0.4759999847412109,0.06695858389139175,Robert Lewandowski,h,227,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,NA,None
Bundesliga,219806,36,SavedShot,0.885,0.36700000762939455,0.32377392053604126,Kingsley Coman,h,226,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Thomas Müller,TakeOn
Bundesliga,219808,53,MissedShots,0.8190000152587891,0.4329999923706055,0.062459416687488556,Arjen Robben,h,392,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Javi Martínez,Pass
Bundesliga,219814,81,Goal,0.885,0.5,0.757696270942688,Robert Lewandowski,h,227,Penalty,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,NA,Standard
Bundesliga,219815,86,MissedShots,0.745999984741211,0.32599998474121095,0.01922784373164177,Leon Goretzka,h,335,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Thomas Müller,BallRecovery
Bundesliga,219816,88,MissedShots,0.87,0.590999984741211,0.10697588324546814,Arjen Robben,h,392,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Robert Lewandowski,Pass
Bundesliga,219817,89,SavedShot,0.8959999847412109,0.44299999237060544,0.42016687989234924,James Rodríguez,h,2249,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Robert Lewandowski,Pass
Bundesliga,219818,89,BlockedShot,0.745,0.54,0.028240181505680084,Thiago Alcántara,h,229,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,NA,None
Bundesliga,219819,89,Goal,0.9130000305175782,0.4370000076293945,0.47153517603874207,Arjen Robben,h,392,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Thomas Müller,Pass
Bundesliga,219820,92,MissedShots,0.8040000152587891,0.4370000076293945,0.06387916952371597,Robert Lewandowski,h,227,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Joshua Kimmich,Pass
Bundesliga,219821,95,MissedShots,0.909000015258789,0.47900001525878905,0.05050594359636307,Robert Lewandowski,h,227,OpenPlay,2018,Head,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,James Rodríguez,Pass
Bundesliga,219802,23,BlockedShot,0.7869999694824219,0.5659999847412109,0.03562058508396149,Florian Grillitsch,a,116,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Ádám Szalai,Pass
Bundesliga,219805,33,MissedShots,0.9080000305175782,0.475,0.4420830309391022,Joelinton,a,87,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Nico Schulz,Pass
Bundesliga,219807,46,SavedShot,0.730999984741211,0.545,0.015133202075958252,Florian Grillitsch,a,116,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,NA,None
Bundesliga,219809,56,Goal,0.88,0.285,0.051565319299697876,Ádám Szalai,a,360,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Ermin Bicakcic,TakeOn
Bundesliga,219810,60,BlockedShot,0.8109999847412109,0.715,0.025970326736569405,Joelinton,a,87,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Nico Schulz,Pass
Bundesliga,219811,60,SavedShot,0.7869999694824219,0.35400001525878905,0.02699338272213936,Steven Zuber,a,254,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Pavel Kaderábek,Pass
Bundesliga,219812,75,SavedShot,0.82,0.4520000076293945,0.06639813631772995,Leonardo Bittencourt,a,262,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Pavel Kaderábek,Pass
Bundesliga,219813,76,SavedShot,0.8280000305175781,0.6780000305175782,0.03351026028394699,Nico Schulz,a,433,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Steven Zuber,Pass
Bundesliga,220034,21,SavedShot,0.735999984741211,0.6969999694824218,0.04149991646409035,William,h,6229,DirectFreekick,2018,RightFoot,10338,Wolfsburg,Schalke 04,2,1,2018-08-25 16:30:00,NA,Standard
Bundesliga,220035,24,MissedShots,0.7519999694824219,0.3160000038146973,0.017759865149855614,William,h,6229,OpenPlay,2018,RightFoot,10338,Wolfsburg,Schalke 04,2,1,2018-08-25 16:30:00,Josuha Guilavogui,Pass
Bundesliga,220036,25,SavedShot,0.715999984741211,0.5659999847412109,0.014373437501490116,Josuha Guilavogui,h,150,OpenPlay,2018,RightFoot,10338,Wolfsburg,Schalke 04,2,1,2018-08-25 16:30:00,Maximilian Arnold,BallRecovery
Bundesliga,220037,29,SavedShot,0.745999984741211,0.5070000076293946,0.021848391741514206,Maximilian Arnold,h,153,OpenPlay,2018,RightFoot,10338,Wolfsburg,Schalke 04,2,1,2018-08-25 16:30:00,NA,BallRecovery
Bundesliga,220038,32,Goal,0.9530000305175781,0.5359999847412109,0.4585200250148773,John Brooks,h,22,FromCorner,2018,Head,10338,Wolfsburg,Schalke 04,2,1,2018-08-25 16:30:00,Maximilian Arnold,Cross
Bundesliga,220040,49,MissedShots,0.825,0.3240000152587891,0.05214077979326248,Wout Weghorst,h,7052,OpenPlay,2018,RightFoot,10338,Wolfsburg,Schalke 04,2,1,2018-08-25 16:30:00,NA,Dispossessed
Bundesliga,220042,55,MissedShots,0.9180000305175782,0.575,0.0554661862552166,Renato Steffen,h,6484,OpenPlay,2018,Head,10338,Wolfsburg,Schalke 04,2,1,2018-08-25 16:30:00,Maximilian Arnold,Aerial
Bundesliga,220043,78,SavedShot,0.8340000152587891,0.4879999923706055,0.08455223590135574,John Brooks,h,22,OpenPlay,2018,LeftFoot,10338,Wolfsburg,Schalke 04,2,1,2018-08-25 16:30:00,Josip Brekalo,Pass
Bundesliga,220048,93,SavedShot,0.8580000305175781,0.5059999847412109,0.35455256700515747,Yannick Gerhardt,h,140,OpenPlay,2018,RightFoot,10338,Wolfsburg,Schalke 04,2,1,2018-08-25 16:30:00,Ignacio Camacho,Throughball
